x_coordinate,y_coordinate,z_coordinate
-1500.000000,1000.000000,0.000000
-1499.999499,999.000000,0.000000
-1499.997996,998.000001,0.000000
-1499.995491,997.000005,0.000000
-1499.991984,996.000011,0.000000
-1499.987476,995.000022,0.000000
-1499.981966,994.000037,0.000000
-1499.975454,993.000059,0.000000
-1499.967941,992.000088,0.000000
-1499.959426,991.000124,0.000000
-1499.949910,990.000170,0.000000
-1499.939393,989.000226,0.000000
-1499.927874,988.000293,0.000000
-1499.915355,987.000372,0.000000
-1499.901834,986.000463,0.000000
-1499.887313,985.000569,0.000000
-1499.871790,984.000690,0.000000
-1499.855267,983.000827,0.000000
-1499.837743,982.000982,0.000000
-1499.819218,981.001154,0.000000
-1499.799693,980.001345,0.000000
-1499.779167,979.001556,0.000000
-1499.757641,978.001788,0.000000
-1499.735115,977.002042,0.000000
-1499.711588,976.002319,0.000000
-1499.687061,975.002621,0.000000
-1499.661535,974.002947,0.000000
-1499.635008,973.003299,0.000000
-1499.607481,972.003678,0.000000
-1499.578954,971.004085,0.000000
-1499.549427,970.004522,0.000000
-1499.518901,969.004988,0.000000
-1499.487375,968.005485,0.000000
-1499.454850,967.006014,0.000000
-1499.421325,966.006576,0.000000
-1499.386801,965.007173,0.000000
-1499.351277,964.007804,0.000000
-1499.314754,963.008471,0.000000
-1499.277233,962.009175,0.000000
-1499.238711,961.009917,0.000000
-1499.199191,960.010698,0.000000
-1499.158673,959.011519,0.000000
-1499.117155,958.012381,0.000000
-1499.074638,957.013285,0.000000
-1499.031123,956.014232,0.000000
-1498.986609,955.015223,0.000000
-1498.941097,954.016259,0.000000
-1498.894586,953.017340,0.000000
-1498.847077,952.018469,0.000000
-1498.798570,951.019646,0.000000
-1498.749064,950.020871,0.000000
-1498.698560,949.022147,0.000000
-1498.647058,948.023473,0.000000
-1498.594559,947.024852,0.000000
-1498.541061,946.026283,0.000000
-1498.486565,945.027769,0.000000
-1498.431072,944.029309,0.000000
-1498.374581,943.030905,0.000000
-1498.317093,942.032558,0.000000
-1498.258607,941.034269,0.000000
-1498.199123,940.036039,0.000000
-1498.138643,939.037869,0.000000
-1498.077165,938.039759,0.000000
-1498.014689,937.041712,0.000000
-1497.951217,936.043728,0.000000
-1497.886748,935.045807,0.000000
-1497.821281,934.047951,0.000000
-1497.754818,933.050162,0.000000
-1497.687358,932.052439,0.000000
-1497.618901,931.054784,0.000000
-1497.549448,930.057198,0.000000
-1497.478998,929.059682,0.000000
-1497.407552,928.062236,0.000000
-1497.335109,927.064863,0.000000
-1497.261670,926.067562,0.000000
-1497.187235,925.070336,0.000000
-1497.111803,924.073184,0.000000
-1497.035375,923.076108,0.000000
-1496.957952,922.079109,0.000000
-1496.879532,921.082188,0.000000
-1496.800117,920.085346,0.000000
-1496.719706,919.088583,0.000000
-1496.638299,918.091902,0.000000
-1496.555896,917.095302,0.000000
-1496.472498,916.098785,0.000000
-1496.388105,915.102352,0.000000
-1496.302716,914.106004,0.000000
-1496.216332,913.109741,0.000000
-1496.128952,912.113566,0.000000
-1496.040578,911.117478,0.000000
-1495.951208,910.121480,0.000000
-1495.860844,909.125571,0.000000
-1495.769484,908.129752,0.000000
-1495.677130,907.134026,0.000000
-1495.583781,906.138393,0.000000
-1495.489437,905.142853,0.000000
-1495.394099,904.147408,0.000000
-1495.297766,903.152059,0.000000
-1495.200438,902.156807,0.000000
-1495.102117,901.161653,0.000000
-1495.002801,900.166597,0.000000
-1494.902491,899.171641,0.000000
-1494.801186,898.176786,0.000000
-1494.698888,897.182033,0.000000
-1494.595596,896.187383,0.000000
-1494.491309,895.192836,0.000000
-1494.386029,894.198395,0.000000
-1494.279756,893.204059,0.000000
-1494.172488,892.209829,0.000000
-1494.064227,891.215708,0.000000
-1493.954973,890.221695,0.000000
-1493.844725,889.227793,0.000000
-1493.733484,888.234001,0.000000
-1493.621249,887.240320,0.000000
-1493.508021,886.246753,0.000000
-1493.393801,885.253299,0.000000
-1493.278587,884.259960,0.000000
-1493.162380,883.266737,0.000000
-1493.045180,882.273631,0.000000
-1492.926988,881.280642,0.000000
-1492.807803,880.287772,0.000000
-1492.687625,879.295022,0.000000
-1492.566455,878.302393,0.000000
-1492.444292,877.309885,0.000000
-1492.321137,876.317500,0.000000
-1492.196989,875.325239,0.000000
-1492.071850,874.333102,0.000000
-1491.945718,873.341092,0.000000
-1491.818594,872.349208,0.000000
-1491.690478,871.357452,0.000000
-1491.561370,870.365824,0.000000
-1491.431270,869.374326,0.000000
-1491.300178,868.382959,0.000000
-1491.168095,867.391724,0.000000
-1491.035020,866.400622,0.000000
-1490.900954,865.409653,0.000000
-1490.765896,864.418819,0.000000
-1490.629847,863.428120,0.000000
-1490.492806,862.437558,0.000000
-1490.354775,861.447134,0.000000
-1490.215752,860.456849,0.000000
-1490.075738,859.466704,0.000000
-1489.934733,858.476699,0.000000
-1489.792737,857.486835,0.000000
-1489.649751,856.497115,0.000000
-1489.505773,855.507538,0.000000
-1489.360805,854.518106,0.000000
-1489.214846,853.528820,0.000000
-1489.067897,852.539680,0.000000
-1488.919958,851.550688,0.000000
-1488.771028,850.561844,0.000000
-1488.621108,849.573151,0.000000
-1488.470197,848.584608,0.000000
-1488.318297,847.596216,0.000000
-1488.165406,846.607978,0.000000
-1488.011525,845.619892,0.000000
-1487.856655,844.631962,0.000000
-1487.700795,843.644187,0.000000
-1487.543945,842.656569,0.000000
-1487.386105,841.669109,0.000000
-1487.227277,840.681807,0.000000
-1487.067459,839.694665,0.000000
-1486.906652,838.707683,0.000000
-1486.744857,837.720863,0.000000
-1486.582074,836.734205,0.000000
-1486.418302,835.747711,0.000000
-1486.253543,834.761381,0.000000
-1486.087795,833.775217,0.000000
-1485.921061,832.789219,0.000000
-1485.753339,831.803388,0.000000
-1485.584631,830.817726,0.000000
-1485.414935,829.832233,0.000000
-1485.244254,828.846911,0.000000
-1485.072586,827.861759,0.000000
-1484.899932,826.876780,0.000000
-1484.726292,825.891974,0.000000
-1484.551667,824.907343,0.000000
-1484.376056,823.922886,0.000000
-1484.199460,822.938606,0.000000
-1484.021880,821.954502,0.000000
-1483.843315,820.970577,0.000000
-1483.663765,819.986831,0.000000
-1483.483232,819.003265,0.000000
-1483.301714,818.019879,0.000000
-1483.119213,817.036676,0.000000
-1482.935728,816.053656,0.000000
-1482.751261,815.070819,0.000000
-1482.565810,814.088168,0.000000
-1482.379376,813.105702,0.000000
-1482.191961,812.123424,0.000000
-1482.003562,811.141333,0.000000
-1481.814182,810.159430,0.000000
-1481.623820,809.177718,0.000000
-1481.432476,808.196196,0.000000
-1481.240151,807.214866,0.000000
-1481.046845,806.233729,0.000000
-1480.852559,805.252785,0.000000
-1480.657291,804.272036,0.000000
-1480.461043,803.291483,0.000000
-1480.263815,802.311126,0.000000
-1480.065607,801.330967,0.000000
-1479.866419,800.351006,0.000000
-1479.666252,799.371245,0.000000
-1479.465106,798.391684,0.000000
-1479.262981,797.412325,0.000000
-1479.059876,796.433168,0.000000
-1478.855794,795.454214,0.000000
-1478.650733,794.475465,0.000000
-1478.444694,793.496921,0.000000
-1478.237677,792.518583,0.000000
-1478.029683,791.540453,0.000000
-1477.820711,790.562531,0.000000
-1477.610762,789.584818,0.000000
-1477.399836,788.607316,0.000000
-1477.187934,787.630024,0.000000
-1476.975055,786.652945,0.000000
-1476.761200,785.676079,0.000000
-1476.546369,784.699427,0.000000
-1476.330562,783.722990,0.000000
-1476.113780,782.746769,0.000000
-1475.896023,781.770765,0.000000
-1475.677291,780.794979,0.000000
-1475.457583,779.819412,0.000000
-1475.236902,778.844065,0.000000
-1475.015245,777.868939,0.000000
-1474.792615,776.894035,0.000000
-1474.569011,775.919353,0.000000
-1474.344434,774.944896,0.000000
-1474.118883,773.970663,0.000000
-1473.892359,772.996656,0.000000
-1473.664861,772.022876,0.000000
-1473.436392,771.049324,0.000000
-1473.206949,770.076000,0.000000
-1472.976535,769.102906,0.000000
-1472.745149,768.130042,0.000000
-1472.512791,767.157410,0.000000
-1472.279461,766.185011,0.000000
-1472.045160,765.212846,0.000000
-1471.809888,764.240914,0.000000
-1471.573645,763.269219,0.000000
-1471.336432,762.297760,0.000000
-1471.098248,761.326538,0.000000
-1470.859094,760.355555,0.000000
-1470.618971,759.384811,0.000000
-1470.377877,758.414308,0.000000
-1470.135815,757.444045,0.000000
-1469.892783,756.474026,0.000000
-1469.648782,755.504249,0.000000
-1469.403812,754.534717,0.000000
-1469.157874,753.565430,0.000000
-1468.910968,752.596390,0.000000
-1468.663094,751.627596,0.000000
-1468.414252,750.659051,0.000000
-1468.164442,749.690755,0.000000
-1467.913665,748.722708,0.000000
-1467.661921,747.754913,0.000000
-1467.409210,746.787371,0.000000
-1467.155533,745.820081,0.000000
-1466.900889,744.853045,0.000000
-1466.645279,743.886264,0.000000
-1466.388703,742.919739,0.000000
-1466.131162,741.953471,0.000000
-1465.872655,740.987461,0.000000
-1465.613183,740.021710,0.000000
-1465.352746,739.056219,0.000000
-1465.091344,738.090988,0.000000
-1464.828978,737.126019,0.000000
-1464.565647,736.161313,0.000000
-1464.301352,735.196871,0.000000
-1464.036094,734.232694,0.000000
-1463.769872,733.268782,0.000000
-1463.502687,732.305137,0.000000
-1463.234538,731.341759,0.000000
-1462.965427,730.378651,0.000000
-1462.695353,729.415811,0.000000
-1462.424317,728.453243,0.000000
-1462.152318,727.490945,0.000000
-1461.879358,726.528921,0.000000
-1461.605435,725.567170,0.000000
-1461.330552,724.605693,0.000000
-1461.054707,723.644492,0.000000
-1460.777901,722.683567,0.000000
-1460.500135,721.722919,0.000000
-1460.221408,720.762550,0.000000
-1459.941720,719.802460,0.000000
-1459.661073,718.842651,0.000000
-1459.379465,717.883122,0.000000
-1459.096898,716.923876,0.000000
-1458.813372,715.964914,0.000000
-1458.528887,715.006235,0.000000
-1458.243443,714.047841,0.000000
-1457.957040,713.089734,0.000000
-1457.669678,712.131914,0.000000
-1457.381359,711.174382,0.000000
-1457.092081,710.217139,0.000000
-1456.801846,709.260186,0.000000
-1456.510653,708.303524,0.000000
-1456.218503,707.347154,0.000000
-1455.925396,706.391077,0.000000
-1455.631332,705.435294,0.000000
-1455.336312,704.479805,0.000000
-1455.040335,703.524613,0.000000
-1454.743403,702.569717,0.000000
-1454.445514,701.615120,0.000000
-1454.146670,700.660821,0.000000
-1453.846870,699.706822,0.000000
-1453.546115,698.753123,0.000000
-1453.244406,697.799726,0.000000
-1452.941741,696.846632,0.000000
-1452.638123,695.893842,0.000000
-1452.333549,694.941356,0.000000
-1452.028022,693.989176,0.000000
-1451.721542,693.037303,0.000000
-1451.414107,692.085737,0.000000
-1451.105720,691.134479,0.000000
-1450.796379,690.183532,0.000000
-1450.486086,689.232894,0.000000
-1450.174840,688.282568,0.000000
-1449.862643,687.332554,0.000000
-1449.549493,686.382853,0.000000
-1449.235393,685.433467,0.000000
-1448.920342,684.484395,0.000000
-1448.604341,683.535640,0.000000
-1448.287389,682.587201,0.000000
-1447.969488,681.639081,0.000000
-1447.650638,680.691279,0.000000
-1447.330839,679.743796,0.000000
-1447.010091,678.796635,0.000000
-1446.688395,677.849795,0.000000
-1446.365752,676.903277,0.000000
-1446.042161,675.957083,0.000000
-1445.717623,675.011213,0.000000
-1445.392139,674.065668,0.000000
-1445.065709,673.120449,0.000000
-1444.738332,672.175558,0.000000
-1444.410011,671.230994,0.000000
-1444.080744,670.286760,0.000000
-1443.750533,669.342855,0.000000
-1443.419377,668.399281,0.000000
-1443.087278,667.456039,0.000000
-1442.754235,666.513129,0.000000
-1442.420248,665.570553,0.000000
-1442.085320,664.628312,0.000000
-1441.749448,663.686406,0.000000
-1441.412635,662.744836,0.000000
-1441.074880,661.803603,0.000000
-1440.736185,660.862709,0.000000
-1440.396548,659.922153,0.000000
-1440.055971,658.981938,0.000000
-1439.714453,658.042064,0.000000
-1439.371996,657.102531,0.000000
-1439.028600,656.163342,0.000000
-1438.684265,655.224496,0.000000
-1438.338992,654.285995,0.000000
-1437.992780,653.347839,0.000000
-1437.645630,652.410030,0.000000
-1437.297543,651.472568,0.000000
-1436.948520,650.535455,0.000000
-1436.598559,649.598691,0.000000
-1436.247662,648.662277,0.000000
-1435.895830,647.726214,0.000000
-1435.543062,646.790503,0.000000
-1435.189359,645.855145,0.000000
-1434.834721,644.920142,0.000000
-1434.479149,643.985493,0.000000
-1434.122643,643.051199,0.000000
-1433.765204,642.117263,0.000000
-1433.406831,641.183684,0.000000
-1433.047526,640.250463,0.000000
-1432.687288,639.317602,0.000000
-1432.326118,638.385102,0.000000
-1431.964017,637.452962,0.000000
-1431.600984,636.521185,0.000000
-1431.237021,635.589771,0.000000
-1430.872127,634.658721,0.000000
-1430.506302,633.728036,0.000000
-1430.139549,632.797717,0.000000
-1429.771866,631.867765,0.000000
-1429.403254,630.938181,0.000000
-1429.033713,630.008965,0.000000
-1428.663244,629.080119,0.000000
-1428.291848,628.151643,0.000000
-1427.919524,627.223539,0.000000
-1427.546273,626.295808,0.000000
-1427.172095,625.368450,0.000000
-1426.796991,624.441465,0.000000
-1426.420961,623.514857,0.000000
-1426.044006,622.588624,0.000000
-1425.666126,621.662768,0.000000
-1425.287320,620.737290,0.000000
-1424.907591,619.812191,0.000000
-1424.526938,618.887472,0.000000
-1424.145361,617.963134,0.000000
-1423.762860,617.039177,0.000000
-1423.379437,616.115602,0.000000
-1422.995092,615.192412,0.000000
-1422.609824,614.269605,0.000000
